RecordID,StudentID,StudentName,Gender,Level,Department,CourseCode,CourseTitle,ExamDate,ExamStart,DurationMin,NumQuestions,Location,Seat,Invigilator,MalpracticeType,Evidence,ReportDetails,Penalty,Outcome,Grade
21,U2021/745414,Iremide Otedola,Female,300,Biochemistry,CSC303,Computer Networks,2024-11-12,14:30,150,50,Old Hall,A20,Dr. R. Hassan,Bribery attempt,Yes,Name on script mismatched ID card,Expulsion (severe cases),Confirmed,E
22,U2024/451470,Abdul Olowo,Female,300,Mass Communication,POL204,Nigerian Government,2025-03-28,15:15,180,60,CBN Hall,N13,Mr. T. Okeke,Collusion/whispering,Yes,Notes found under question paper,Expulsion (severe cases),Pending,B
23,U2023/329471,Somto Osemeke,Female,100,Mass Communication,MEE201,Thermodynamics,2025-02-28,11:45,150,60,Main Hall A,J16,Mrs. K. Adeyemi,Impersonation,Yes,Raised voice; disrupted hall,Suspension (2 semesters),Confirmed,C
24,U2021/980660,Hassan Ishola,Female,300,Statistics,ECO202,Macro Economics,2025-03-29,16:45,180,60,Sports Complex Hall,D18,Dr. L. Ekanem,Collusion/whispering,Yes,Student observed using phone camera,Score Cancelled + Repeat Course,Confirmed,F
25,U2020/535020,Oyin Oluwole,Female,300,Accounting,IFT211,Computer Organization & Architecture,2024-11-23,16:00,90,40,Engineering LT,A14,Mr. C. Nnaji,Impersonation,Yes,Programmable calculator with stored notes,Suspension (2 semesters),Pending,F
26,U2024/883826,Gloria Oyeniyi,Male,100,Political Science,POL204,Nigerian Government,2025-01-24,15:00,120,50,New Hall,D18,Mr. C. Nnaji,Unauthorized material (calculator),No,Raised voice; disrupted hall,Score Cancelled (0),Cleared (insufficient evidence),B
27,U2023/242291,Temi Onyema,Male,400,Mathematics,STA201,Probability Theory,2024-06-18,15:15,180,25,Science LT1,G21,Prof. H. Danladi,Unauthorized material (calculator),Yes,Raised voice; disrupted hall,Warning,Confirmed,D
28,U2020/919182,Zubair Okon,Male,300,Statistics,MAC201,News Writing,2025-03-07,12:00,150,25,CBN Hall,D54,Dr. A. Musa,Bribery attempt,Yes,Verbal threat reported by invigilator,Warning,Cleared (insufficient evidence),C
29,U2020/915573,Hauwa Danladi,Male,400,Physics,CSC307,Database Systems,2024-04-27,11:45,120,50,CBN Annex,A60,Dr. R. Hassan,Collusion/whispering,Yes,Verbal threat reported by invigilator,Score Cancelled + Repeat Course,Cleared (insufficient evidence),F
30,U2020/464069,Olamide Ogunleke,Female,400,Mathematics,MAC201,News Writing,2024-07-22,09:15,60,50,Main Hall B,J42,Mrs. J. Obi,Threat/harassment of invigilator,Yes,Notes found under question paper,Suspension (1 semester),Confirmed,F
31,U2023/587455,Osas Ogunyinka,Female,100,Economics,MEE201,Thermodynamics,2025-01-05,15:15,150,40,Science LT2,D54,Mrs. K. Adeyemi,Bribery attempt,No,Identical answers with neighbor,Suspension (1 semester),Pending,F
32,U2022/393243,Oluwatosin Ishola,Male,400,Microbiology,IFT211,Computer Organization & Architecture,2025-01-23,13:00,150,50,Old Hall,D06,Prof. H. Danladi,Collusion/whispering,Yes,Programmable calculator with stored notes,Score Cancelled + Repeat Course,Pending,E
33,U2024/486945,Nurudeen Ogunlesi,Female,400,Physics,IFT211,Computer Organization & Architecture,2025-05-17,15:00,60,50,Engineering LT,M36,Mrs. J. Obi,Impersonation,Yes,Scripts exchanged mid-exam,Suspension (1 semester),Pending,F
34,U2021/874483,Olamma Ishola,Female,300,Business Administration,MTH101,Calculus I,2024-08-24,09:15,120,25,Main Hall B,D19,Prof. H. Danladi,Bribery attempt,No,Scripts exchanged mid-exam,Suspension (2 semesters),Confirmed,D
35,U2023/561865,David Onyema,Male,200,Business Administration,CSC101,Introduction to Computer Science,2024-02-16,08:30,90,60,Science LT1,H08,Mrs. K. Adeyemi,Use of mobile phone,No,Programmable calculator with stored notes,Score Cancelled + Repeat Course,Confirmed,E
36,U2021/913373,Musa Okonkwo,Female,100,Electrical Engineering,POL204,Nigerian Government,2024-06-01,12:00,90,25,New Hall,E56,Dr. B. Yakubu,Bribery attempt,Yes,Programmable calculator with stored notes,Suspension (1 semester),Confirmed,D
37,U2020/528361,Adewale Nwachukwu,Female,100,Microbiology,MIC301,Microbiology Techniques,2024-04-11,11:15,120,25,Science LT1,A15,Dr. R. Hassan,Collusion/whispering,Yes,Identical answers with neighbor,Score Cancelled (0),Confirmed,F
38,U2021/174878,Bimbo Ogunbadejo,Female,100,Physics,ECO202,Macro Economics,2024-08-27,12:15,150,25,CBN Annex,M53,Dr. B. Yakubu,Bribery attempt,Yes,Identical answers with neighbor,Expulsion (severe cases),Pending,E
39,U2024/362529,Amaka Olanrewaju,Male,300,Mathematics,ECO202,Macro Economics,2025-02-16,12:45,150,25,Sports Complex Hall,K38,Dr. A. Musa,Threat/harassment of invigilator,Yes,Identical answers with neighbor,Expulsion (severe cases),Confirmed,E
40,U2022/436653,Femi Udo,Male,400,Biochemistry,CSC401,Distributed Systems,2025-03-28,12:15,180,60,Science LT2,G45,Dr. L. Ekanem,Disorderly conduct,No,Identical answers with neighbor,Suspension (1 semester),Confirmed,F
41,U2024/584417,Oyin Okoye,Male,100,Mass Communication,MAC201,News Writing,2024-03-31,13:30,120,25,Old Hall,F40,Dr. L. Ekanem,Unauthorized material (calculator),No,Raised voice; disrupted hall,Warning,Confirmed,F
42,U2021/425845,Chidera Adebayo,Female,300,Biochemistry,IFT212,Systems Programming,2024-05-14,12:45,150,25,Main Hall B,D54,Mrs. K. Adeyemi,Cheat notes/crib,No,Raised voice; disrupted hall,Score Cancelled (0),Confirmed,F
43,U2021/728492,Khadija Akinwale,Male,400,Sociology,CSC307,Database Systems,2024-10-25,16:30,150,60,Science LT1,N51,Mr. C. Nnaji,Disorderly conduct,Yes,Scripts exchanged mid-exam,Suspension (1 semester),Confirmed,F
44,U2024/899929,Chiamaka Okonkwo,Female,300,Political Science,EEE203,Circuit Theory,2024-01-03,12:30,180,60,Science LT2,D45,Prof. H. Danladi,Collusion/whispering,Yes,Verbal threat reported by invigilator,Score Cancelled + Repeat Course,Confirmed,E
45,U2020/986088,Omoni Eze,Female,100,Accounting,ACC201,Financial Accounting,2025-04-29,14:45,90,60,Main Hall A,M10,Mr. C. Nnaji,Cheat notes/crib,Yes,Whispering repeatedly despite warnings,Score Cancelled (0),Cleared (insufficient evidence),C
46,U2024/137642,Oluwatimilehin Ogunleye,Male,300,Microbiology,MTH101,Calculus I,2025-02-11,09:30,180,60,Sports Complex Hall,L59,Dr. R. Hassan,Exam script exchange,Yes,Name on script mismatched ID card,Score Cancelled (0),On Appeal,F
47,U2022/551607,Chika Obi,Female,100,Statistics,ACC201,Financial Accounting,2024-04-12,15:15,120,25,CBN Annex,L51,Mr. T. Okeke,Cheat notes/crib,Yes,Whispering repeatedly despite warnings,Score Cancelled + Repeat Course,Pending,D
48,U2022/810526,Chiamaka Ogunbote,Male,400,Microbiology,MIC301,Microbiology Techniques,2024-09-03,15:15,90,60,New Hall,F38,Dr. R. Hassan,Copying from neighbor,Yes,Programmable calculator with stored notes,Score Cancelled + Repeat Course,Confirmed,F
49,U2022/123005,Tunde Garba,Female,300,Mechanical Engineering,ECO202,Macro Economics,2025-01-28,15:00,90,60,Main Hall A,K56,Dr. A. Musa,Threat/harassment of invigilator,Yes,Verbal threat reported by invigilator,Suspension (1 semester),Pending,F
50,U2020/423939,Omoni Ojo,Female,200,Microbiology,PHY102,General Physics II,2024-12-26,11:15,180,50,Auditorium,B59,Dr. R. Hassan,Collusion/whispering,Yes,Scripts exchanged mid-exam,Score Cancelled + Repeat Course,On Appeal,F
51,U2020/591081,Ibrahim Ogunyemi,Male,200,Electrical Engineering,CSC401,Distributed Systems,2025-07-06,13:30,90,50,Sports Complex Hall,M44,Mr. C. Nnaji,Disorderly conduct,No,Offered inducement after paper,Score Cancelled + Repeat Course,Pending,D
52,U2020/807617,Funke Lawal,Male,100,Business Administration,MAC201,News Writing,2025-07-03,09:45,120,50,CBN Annex,J21,Dr. B. Yakubu,Threat/harassment of invigilator,Yes,Name on script mismatched ID card,Expulsion (severe cases),Confirmed,F
53,U2024/242254,Henry Ekanem,Female,300,Physics,ECO202,Macro Economics,2025-02-22,09:15,60,25,Sports Complex Hall,M45,Mrs. P. Lawal,Copying from neighbor,No,Programmable calculator with stored notes,Score Cancelled (0),Pending,E
54,U2022/204180,Yusuf Nnaji,Female,400,Physics,CSC307,Database Systems,2024-04-11,15:45,120,25,Main Hall A,G18,Prof. H. Danladi,Exam script exchange,Yes,Student observed using phone camera,Score Cancelled (0),Confirmed,F
55,U2021/714867,Maryam Adelakun,Female,100,Physics,ECO202,Macro Economics,2024-08-05,08:00,120,40,Auditorium,N58,Dr. B. Yakubu,Collusion/whispering,Yes,Notes found under question paper,Suspension (2 semesters),Pending,D
56,U2022/116547,Somto Onuoha,Male,200,Biochemistry,CSC307,Database Systems,2024-09-13,10:00,60,40,Auditorium,M27,Mrs. P. Lawal,Cheat notes/crib,Yes,Student observed using phone camera,Suspension (2 semesters),Confirmed,F
57,U2024/416282,Adeola Adegoke,Male,400,Statistics,MEE201,Thermodynamics,2025-01-05,16:00,150,40,Main Hall A,H55,Mr. C. Nnaji,Threat/harassment of invigilator,Yes,Programmable calculator with stored notes,Suspension (1 semester),Confirmed,F
58,U2022/499407,Oluwatosin Oviawe,Female,400,Information Technology,MEE201,Thermodynamics,2024-03-23,13:15,60,40,New Hall,J39,Mr. C. Nnaji,Copying from neighbor,Yes,Student observed using phone camera,Suspension (1 semester),Confirmed,F
59,U2022/797416,Tomiwa Nnaji,Male,200,Economics,CSC303,Computer Networks,2025-04-07,11:45,120,60,Sports Complex Hall,H05,Mrs. K. Adeyemi,Unauthorized material (calculator),Yes,Student observed using phone camera,Suspension (1 semester),Pending,C
60,U2020/401601,Oluwatosin Danladi,Female,300,Statistics,CSC303,Computer Networks,2024-05-13,16:00,180,50,Main Hall B,K33,Prof. H. Danladi,Use of mobile phone,Yes,Whispering repeatedly despite warnings,Score Cancelled (0),On Appeal,F
61,U2024/807764,Hussein Ogunlade,Male,100,Accounting,IFT211,Computer Organization & Architecture,2025-07-23,13:00,120,40,CBN Annex,L54,Dr. R. Hassan,Unauthorized material (calculator),Yes,Notes found under question paper,Score Cancelled + Repeat Course,Cleared (insufficient evidence),D
62,U2020/882354,Ope Oshodi,Female,300,Accounting,PHY102,General Physics II,2024-01-07,10:15,180,60,Engineering LT,H22,Mr. T. Okeke,Use of mobile phone,Yes,Scripts exchanged mid-exam,Score Cancelled (0),Confirmed,D
63,U2024/563516,Oiza Balogun,Male,100,Sociology,STA201,Probability Theory,2024-02-23,10:15,180,25,Old Hall,B23,Mr. C. Nnaji,Use of mobile phone,Yes,Student observed using phone camera,Score Cancelled + Repeat Course,Confirmed,D
64,U2022/403507,Blessing Ogunbiyi,Male,400,Biochemistry,POL204,Nigerian Government,2024-11-11,08:15,150,25,New Hall,M28,Mr. T. Okeke,Cheat notes/crib,Yes,Whispering repeatedly despite warnings,Warning,On Appeal,E
65,U2023/843963,Hassan Odeyemi,Female,300,Information Technology,IFT211,Computer Organization & Architecture,2025-02-10,08:45,60,60,Main Hall B,G02,Mrs. J. Obi,Use of mobile phone,No,Whispering repeatedly despite warnings,Suspension (1 semester),Confirmed,F
66,U2022/882033,David Adeyemi,Female,400,Political Science,MIC301,Microbiology Techniques,2025-01-05,09:45,60,40,Auditorium,B33,Mrs. K. Adeyemi,Unauthorized material (calculator),Yes,Offered inducement after paper,Suspension (1 semester),Confirmed,E
67,U2020/285751,Ihuoma Nwankwo,Female,300,Mathematics,BIO203,Biochemistry I,2024-05-31,11:00,90,50,New Hall,N37,Dr. B. Yakubu,Impersonation,Yes,Raised voice; disrupted hall,Suspension (1 semester),Pending,F
68,U2020/469038,Taiwo Abubakar,Female,300,Political Science,POL204,Nigerian Government,2024-11-19,10:45,60,60,New Hall,H03,Dr. A. Musa,Disorderly conduct,Yes,Scripts exchanged mid-exam,Suspension (2 semesters),Confirmed,F
69,U2022/734394,Nurudeen Iwu,Male,100,Microbiology,CSC301,Operating Systems,2025-06-03,14:45,180,25,Main Hall A,H07,Mrs. J. Obi,Disorderly conduct,No,Student observed using phone camera,Score Cancelled (0),Confirmed,E
70,U2024/154909,Olamilekan Adegoke,Female,100,Mechanical Engineering,CSC401,Distributed Systems,2025-03-24,15:15,120,50,Main Hall B,F07,Mrs. P. Lawal,Copying from neighbor,Yes,Programmable calculator with stored notes,Suspension (1 semester),Confirmed,D
71,U2024/494976,Hussein Oluwole,Male,200,Accounting,MIC301,Microbiology Techniques,2024-03-24,10:30,120,60,Sports Complex Hall,M54,Mrs. P. Lawal,Collusion/whispering,Yes,Student observed using phone camera,Score Cancelled (0),On Appeal,F
72,U2020/410160,Tolu Iwu,Male,300,Computer Science,ACC201,Financial Accounting,2025-01-06,12:15,90,50,Sports Complex Hall,F57,Dr. B. Yakubu,Disorderly conduct,Yes,Whispering repeatedly despite warnings,Warning,Cleared (insufficient evidence),E
73,U2023/345369,Olamide Olowo,Female,200,Electrical Engineering,CSC307,Database Systems,2024-06-18,15:00,150,50,New Hall,D24,Dr. B. Yakubu,Impersonation,No,Raised voice; disrupted hall,Suspension (1 semester),Confirmed,E
74,U2024/207573,Peter Osemeke,Male,400,Biochemistry,PHY102,General Physics II,2025-06-24,14:15,90,40,Science LT1,B49,Mr. T. Okeke,Copying from neighbor,Yes,Identical answers with neighbor,Score Cancelled + Repeat Course,Confirmed,E
75,U2021/504924,Ngozi Nnaji,Male,200,Political Science,EEE203,Circuit Theory,2025-03-23,09:15,150,50,Main Hall A,F60,Mrs. K. Adeyemi,Cheat notes/crib,Yes,Scripts exchanged mid-exam,Score Cancelled + Repeat Course,Pending,F
76,U2024/862560,Oluwadamilola Oviawe,Female,100,Business Administration,CSC307,Database Systems,2025-04-28,10:45,150,25,Main Hall B,N19,Prof. H. Danladi,Use of mobile phone,Yes,Identical answers with neighbor,Score Cancelled (0),Pending,C
77,U2023/101640,Opeyemi Ogunjobi,Male,400,Physics,IFT211,Computer Organization & Architecture,2025-04-13,09:00,150,25,CBN Annex,G12,Mrs. K. Adeyemi,Bribery attempt,Yes,Offered inducement after paper,Expulsion (severe cases),Confirmed,F
78,U2020/908977,Seyi Oluwole,Male,100,Economics,CSC301,Operating Systems,2025-04-26,08:45,120,50,Main Hall A,F35,Mrs. J. Obi,Cheat notes/crib,Yes,Whispering repeatedly despite warnings,Score Cancelled (0),Pending,F
79,U2022/425138,Khadija Garba,Female,400,Physics,ECO202,Macro Economics,2024-07-05,10:00,150,25,Science LT1,A49,Prof. H. Danladi,Copying from neighbor,Yes,Identical answers with neighbor,Score Cancelled (0),Confirmed,D
80,U2023/485191,Musa Balogun,Male,300,Business Administration,CSC205,Data Structures,2024-05-07,13:45,150,60,Engineering LT,B28,Dr. B. Yakubu,Unauthorized material (calculator),Yes,Whispering repeatedly despite warnings,Expulsion (severe cases),Pending,E
81,U2022/744718,Osas Ishola,Male,100,Information Technology,STA201,Probability Theory,2024-12-01,12:30,150,60,Main Hall B,L41,Mr. C. Nnaji,Collusion/whispering,Yes,Scripts exchanged mid-exam,Warning,Pending,E
82,U2024/260891,Kunle Ogunmodede,Female,100,Electrical Engineering,CSC401,Distributed Systems,2025-03-24,08:15,60,40,Science LT2,H49,Mrs. K. Adeyemi,Exam script exchange,Yes,Verbal threat reported by invigilator,Warning,On Appeal,C
83,U2022/912609,Ishaya Ogunmodede,Male,400,Accounting,BIO203,Biochemistry I,2024-10-12,11:00,60,40,CBN Annex,E45,Dr. L. Ekanem,Disorderly conduct,Yes,Name on script mismatched ID card,Warning,On Appeal,C
84,U2021/932250,Joy Ezekiel,Male,400,Electrical Engineering,CSC301,Operating Systems,2025-03-31,09:30,120,25,Main Hall B,D51,Mr. T. Okeke,Bribery attempt,Yes,Name on script mismatched ID card,Warning,On Appeal,F
85,U2023/651231,Oyin Yakubu,Male,300,Biochemistry,CSC101,Introduction to Computer Science,2025-08-09,13:45,180,40,Auditorium,F42,Mrs. K. Adeyemi,Threat/harassment of invigilator,No,Raised voice; disrupted hall,Expulsion (severe cases),Pending,E
86,U2022/843788,Ifeoma Kehinde,Female,300,Electrical Engineering,EEE203,Circuit Theory,2025-07-18,10:15,150,25,Main Hall B,E13,Mrs. P. Lawal,Use of mobile phone,Yes,Identical answers with neighbor,Score Cancelled (0),Pending,C
87,U2020/772612,Ihuoma Ogunmokun,Female,100,Biochemistry,PHY102,General Physics II,2024-06-21,10:15,180,50,Sports Complex Hall,D50,Dr. B. Yakubu,Threat/harassment of invigilator,Yes,Programmable calculator with stored notes,Warning,On Appeal,E
88,U2021/560959,Oiza Afolayan,Female,400,Sociology,CSC101,Introduction to Computer Science,2025-07-12,12:30,150,40,CBN Hall,F39,Mr. T. Okeke,Unauthorized material (calculator),Yes,Scripts exchanged mid-exam,Warning,Pending,F
89,U2020/153063,Fatima Ogueke,Female,300,Economics,STA201,Probability Theory,2024-05-13,13:00,120,40,CBN Hall,C53,Mrs. J. Obi,Disorderly conduct,Yes,Verbal threat reported by invigilator,Score Cancelled (0),Confirmed,F
90,U2021/325595,Seyi Ogunjobi,Male,200,Mass Communication,IFT212,Systems Programming,2025-06-11,15:45,120,60,Main Hall A,E32,Dr. B. Yakubu,Cheat notes/crib,Yes,Raised voice; disrupted hall,Suspension (1 semester),Pending,D
91,U2022/680096,Salihu Abubakar,Female,100,Economics,CSC101,Introduction to Computer Science,2024-05-17,12:30,150,50,Old Hall,H49,Mrs. P. Lawal,Cheat notes/crib,Yes,Identical answers with neighbor,Score Cancelled (0),Confirmed,F
92,U2020/147504,Olamide Akinwale,Female,100,Electrical Engineering,MIC301,Microbiology Techniques,2024-04-09,14:30,120,50,New Hall,J30,Mr. T. Okeke,Collusion/whispering,Yes,Verbal threat reported by invigilator,Suspension (2 semesters),Confirmed,F
93,U2023/843167,Iremide Otedola,Female,300,Sociology,CSC307,Database Systems,2024-11-22,10:45,180,50,Main Hall A,F22,Mrs. K. Adeyemi,Threat/harassment of invigilator,Yes,Programmable calculator with stored notes,Suspension (1 semester),Confirmed,E
94,U2020/300051,Chinedu Ogunlana,Female,400,Business Administration,CSC101,Introduction to Computer Science,2024-08-21,08:45,90,60,Engineering LT,C27,Prof. H. Danladi,Collusion/whispering,Yes,Programmable calculator with stored notes,Suspension (2 semesters),Pending,E
95,U2023/659024,David Oyeniyi,Female,400,Political Science,MIC301,Microbiology Techniques,2024-03-04,10:15,180,50,Sports Complex Hall,N56,Dr. R. Hassan,Disorderly conduct,Yes,Verbal threat reported by invigilator,Score Cancelled (0),Pending,E
96,U2022/401769,Yemi Ogunmokun,Female,300,Biochemistry,IFT211,Computer Organization & Architecture,2024-11-01,11:30,120,40,Engineering LT,F50,Mr. T. Okeke,Disorderly conduct,Yes,Identical answers with neighbor,Expulsion (severe cases),Pending,B
97,U2021/214532,Opeyemi Ogunyinka,Male,300,Sociology,CSC301,Operating Systems,2025-03-28,12:45,90,40,CBN Hall,A43,Mrs. P. Lawal,Bribery attempt,Yes,Name on script mismatched ID card,Expulsion (severe cases),Confirmed,F
98,U2023/600641,Zubair Aliyu,Female,100,Economics,CSC205,Data Structures,2024-12-04,15:00,90,25,Science LT2,E42,Dr. A. Musa,Bribery attempt,No,Student observed using phone camera,Suspension (1 semester),Pending,F
99,U2020/109717,Tochi Ogunjinmi,Male,100,Sociology,IFT211,Computer Organization & Architecture,2024-06-28,14:15,60,60,Science LT2,E30,Mrs. P. Lawal,Disorderly conduct,Yes,Offered inducement after paper,Score Cancelled + Repeat Course,Confirmed,E
100,U2022/695361,Kunle Bassey,Male,400,Business Administration,CSC307,Database Systems,2024-07-16,09:30,90,60,CBN Annex,L58,Mr. C. Nnaji,Copying from neighbor,Yes,Programmable calculator with stored notes,Score Cancelled + Repeat Course,Pending,E
101,U2022/445637,Tochi Ogunbanwo,Male,400,Physics,CSC301,Operating Systems,2024-04-07,10:15,150,50,Science LT1,L24,Prof. H. Danladi,Impersonation,Yes,Notes found under question paper,Expulsion (severe cases),Pending,F
102,U2023/260626,Adeola Suleiman,Female,300,Electrical Engineering,ECO202,Macro Economics,2025-02-19,16:30,60,50,Engineering LT,M36,Dr. L. Ekanem,Exam script exchange,Yes,Offered inducement after paper,Score Cancelled (0),Pending,F
103,U2024/311976,Oluwatobi Akpan,Male,200,Physics,IFT212,Systems Programming,2024-03-24,16:45,180,50,Auditorium,F55,Mrs. P. Lawal,Use of mobile phone,No,Raised voice; disrupted hall,Suspension (1 semester),Pending,C
104,U2023/805448,Daniel Ibrahim,Female,400,Information Technology,IFT212,Systems Programming,2025-06-06,15:00,150,40,Science LT1,A48,Prof. H. Danladi,Bribery attempt,Yes,Verbal threat reported by invigilator,Suspension (1 semester),Confirmed,C
105,U2023/492650,Ruth Ogunmodede,Female,300,Mathematics,ACC201,Financial Accounting,2024-03-06,16:00,60,60,Engineering LT,B44,Mrs. P. Lawal,Cheat notes/crib,Yes,Whispering repeatedly despite warnings,Score Cancelled (0),Pending,F
106,U2024/544730,Olamide Okonkwo,Male,100,Electrical Engineering,BIO203,Biochemistry I,2025-07-04,14:15,90,25,CBN Hall,H23,Mr. T. Okeke,Cheat notes/crib,No,Identical answers with neighbor,Expulsion (severe cases),Confirmed,D
107,U2020/356622,Gloria Okon,Female,100,Statistics,CSC303,Computer Networks,2025-03-05,08:15,90,25,New Hall,D35,Prof. H. Danladi,Use of mobile phone,Yes,Notes found under question paper,Suspension (1 semester),Confirmed,C
108,U2024/720407,Gloria Uche,Female,200,Political Science,PHY102,General Physics II,2024-11-22,13:15,120,40,Old Hall,H04,Mrs. J. Obi,Bribery attempt,Yes,Programmable calculator with stored notes,Suspension (2 semesters),Pending,F
109,U2021/944917,Temi Oladipo,Female,400,Economics,STA201,Probability Theory,2024-06-01,12:45,90,60,Engineering LT,J34,Mr. T. Okeke,Impersonation,Yes,Programmable calculator with stored notes,Suspension (1 semester),Pending,D
110,U2020/176319,Zainab Ogunyinka,Male,300,Physics,IFT212,Systems Programming,2024-03-21,15:30,60,40,New Hall,D56,Mrs. J. Obi,Cheat notes/crib,Yes,Identical answers with neighbor,Suspension (2 semesters),Confirmed,F
111,U2023/588899,Olamide Ogunseye,Female,200,Sociology,CSC101,Introduction to Computer Science,2024-07-13,09:45,90,40,Science LT1,E24,Mrs. P. Lawal,Unauthorized material (calculator),No,Raised voice; disrupted hall,Score Cancelled + Repeat Course,Confirmed,E
